日期收录,活动名称,类型,地区,城市,开始日期,结束日期,报名截止,官方链接,来源
2026-09-03,Hyperbloom September AI/ML,Hackathon,线上,线上,2026-09-01,2026-09-14,2026-09-14,https://hyperbloom-september.devpost.com,Devpost
2026-09-04,物理AI与具身智能机器人创新生态交流会,大会及边会,中国大陆,北京,2026-09-11,2026-09-11,,https://finance.sina.com.cn/hy/hyjz/2026-08-25/doc-inippeww2322245.shtml,新浪财经/服贸会
2026-09-04,AI Tinkerers Hong Kong × Cyberport × EY September Meetup,Meetup,港澳台,香港,2026-09-29,2026-09-29,,https://hong-kong.aitinkerers.org,AI Tinkerers Hong Kong
2026-09-04,SingHacks 2026,Hackathon,东南亚,新加坡,2026-09-04,2026-09-05,,https://www.singhacks.com,SingHacks
2026-09-04,Agents Everywhere Global Hackathon — Singapore,Hackathon,东南亚,新加坡,2026-09-12,2026-09-13,,https://aitinkerers.org/hackathons/global/agents-everywhere,AI Tinkerers
2026-09-04,Singapore Defence Tech Hackathon 2026,Hackathon,东南亚,新加坡,2026-09-25,2026-09-27,,https://luma.com/sdth-2026,NUS Enterprise
2026-09-04,Singapore-India Hackathon 2026,Hackathon,东南亚,新加坡,2026-11-15,2026-11-17,,https://iie.smu.edu.sg/singapore-india-hackathon-2026,SMU
2026-09-04,dev_night: The Actionable Agent (London),Meetup,欧洲,伦敦,2026-09-10,2026-09-10,,https://luma.com/devnight-london-2026,Cerebral Valley
2026-09-04,OpenAI Codex Community Hackathon Antwerp,Hackathon,欧洲,安特卫普,2026-09-16,2026-09-16,,https://luma.com/ai388m8c,OpenAI Developers
2026-09-04,ETHGlobal Tokyo 2026,Hackathon,日韩,东京,2026-09-25,2026-09-27,,https://ethglobal.com/events/tokyo2026,ETHGlobal
2026-09-04,OpenAI Codex Community Meetup Perth (Sep 10),Meetup,澳新,珀斯,2026-09-10,2026-09-10,,https://luma.com/1m1sbmcf,OpenAI Developers
2026-09-04,OpenAI Codex Community Meetup Perth (Sep 19),Meetup,澳新,珀斯,2026-09-19,2026-09-19,,https://luma.com/5a3bs7hn,OpenAI Developers
2026-09-04,OpenAI Codex Community Hackathon Adelaide,Hackathon,澳新,阿德莱德,2026-09-24,2026-09-24,,https://luma.com/v4p1smma,OpenAI Developers
2026-09-04,Agents Everywhere Global Hackathon — 全球50城同步,Hackathon,北美,纽约/旧金山等,2026-09-12,2026-09-13,,https://aitinkerers.org/hackathons/global/agents-everywhere,AI Tinkerers
2026-09-04,AI Tinkerers NYC September Demo Day ft PostHog,Demo Day,北美,纽约,2026-09-23,2026-09-23,,https://nyc.aitinkerers.org,AI Tinkerers NYC
